firm,pros,cons,sentiment,rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt
Bloomberg-L-P,great for entry levelfirst job out of school lot of opportunities to learn can really make a difference if you are deemed to be a favorite of your manager,no opportunities for recognition or career advancement unless you enter management the few managers above team leaders hold a lot of power within data most only care about fighting for headcountjurisdiction over products they will only promote and develop those they want to be potential managers under them afterthought in global data if you dont know technology and want a career in finance really need to fight to get on good projects turnover high as a result there are always open spots within gd but most managers do not want to take you on blindly even if you are tenured so there often is no choice but to outright leave the department the worst i have seen is a manager telling a long tenured years and consistent top within the team performer to leave the team and wouldnt even help refer the employee to a new group there is no loyalty here for you if you arent a manager great place to start career not good a good place to stay longer than years if you arent a manager,Neutral,3,5.0,2.0,3.0,3.0,5.0,2.0
IBM,perfect for new graduates off for a quick buck company saves more,ibm roadkill chance of specializing in your field of expertise outdated pbc methods your performance rating is already determined even before your form is submitted company focuses more on shareholders and uses employees as cannon fodder management frowns down on employees who question policies labor union not allowed,Negative,1,2.0,4.0,3.0,1.0,3.0,2.0
Oracle,good technical carrier growth work life balance,no salary hikes manager driven company,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Apple,pretty relaxed work environment amongst peers and management depending on the managers for the day medical benefits for parttimers commuter benefits help a great deal in nyc,its a retail job unclear path for movement in my store little to no full time opportunities any fulltimer that leaves or gets fired gets replaced with parttime positions favoritism for promotions or movement within the company,Positive,4,1.0,4.0,3.0,2.0,4.0,4.0
Apple,products and branding decent compensation,cronyism arrogant boss no work life balance,Negative,2,3.0,1.0,2.0,2.0,4.0,3.0
Goldman-Sachs,good pay smart people good gym,people not very nicenasty and arrogant culture very hierarchical with aggressive senior males making all decisions very long hours and not always at times when its needed ie face time,Negative,2,3.0,3.0,3.0,3.0,3.0,3.0
IBM,ibm embraces individual differences and because of that you can focus on your personal strengths ibm offers career paths for nonmanagers the path of technical leadership and excellence which allows me to focus on the content of technology and helping others to do the same was a special year and ibm clearly was the place to work as they showed understanding and respect for the individual circumstances everyone was in leadership has become very clear regarding business goals,there are so many interesting side project you can get involved in that you need self discipline to choose only those that will fit your career understanding what is going on in every part of the organization is not possible,Positive,5,5.0,5.0,4.0,5.0,4.0,5.0
HSBC-Holdings,more learning potential friendly and supportive team,i dont feel like there is something to mention,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
KPMG,learnt a large amount doing the aca,hours are bad pay is bad,Neutral,3,2.0,4.0,2.0,3.0,1.0,3.0
McDonald-s,just your first step in the door for when youre young you learn alot about dealing with customers in a professional setting usually they have complaints or problems and its up to you to diffuse the situation also you learn to work quickly because if you dont customers and management become upset with you you learn many different every day skills in case you didnt learn them from home already,sometimes the restaurant gets packed very quickly and orders are flying around its fun until someone makes a mistake now you have to devote your entire attention to the customer to make sure they are satisfied or else theyll want a refund or become upset sometimes you would ask for change from management because youre out of coins or single dollar bills and they would completely forget even though you gave them the or and then theyd leave for the day and youll be short during the register count,Neutral,3,5.0,3.0,5.0,2.0,3.0,3.0
Marriott-International,takes care of their employees personable professional great benifits,lost job due to covid,Positive,5,5.0,5.0,5.0,4.0,4.0,5.0
Thomson-Reuters,nice offices colleagues are friendly and professional,most workers have been moved to the status of contractor unless youre a senior employee this means tr can get around providing the majority of us with basic workers rights no sick pay no pay increases no access to hr within the company no pension scheme no paid lunch hour no other benefits that permanent employees get instead they pay an umbrella company to hire us as agency workers and oversee our pay this has led to multiple issues with missed payment with past and current employees many still waiting to be repaid many of us have worked full time for years for tr but are still classed as outside agency workers people currently leaving permanent roles are now having their roles advrtised at a much lower salary and on contractor status its insulting that such a large and established company feels they can cut costs and corners with their employees rights avoid contractor roles if you can go for a smaller company that cares about their workers the stress of having to track your pay constantly is not worth it,Negative,2,4.0,2.0,3.0,1.0,1.0,2.0
Willis-Towers-Watson,get to become familiar with how research can be of use within the private sector,verry bad management and growth opportunities friends of get more benefits the rest little by little is left without tasks hr not professional at all discrimination due to sexual orientation and religion,Negative,2,1.0,3.0,3.0,2.0,2.0,1.0
IBM,flexibility in terms of providing laptop is very good good place for the female it consultants lots of knowledge sharing and gaining possibilities,salary is less compared to the competitors,Neutral,3,2.0,3.0,3.0,3.0,2.0,3.0
IBM,great people to work with and learn about emerging technology,it staffing has been shrinking in recent years,Positive,4,4.0,4.0,4.0,4.0,4.0,4.0
KPMG,opportunities to work in cross functional teams,the organisational culture is not adopted universally which makes experiences dependant on team,Neutral,3,1.0,2.0,3.0,4.0,3.0,3.0
IBM,experis it is good company to start a carrier for freshers,salary is not enough please increase the salary,Positive,4,3.0,4.0,3.0,4.0,3.0,4.0
PwC,well respected good training programs,work is a little slow for associates,Neutral,3,4.0,3.0,3.0,4.0,3.0,4.0
PwC,good place to start your career and grow,none that i can think of i enjoyed my time there,Positive,4,4.0,4.0,4.0,4.0,4.0,3.0
Capita,good training good salary good environment good career opportunities with time and commitment,some departments get employees lost in numbers shift patterns can be awkward,Positive,4,3.0,5.0,3.0,4.0,5.0,4.0
University-of-Michigan,flexible scheduling is provided for students,starting pay for students is low,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
HSBC-Holdings,great benefits knowledgeable management,work pressure performance targets and competition,Positive,5,5.0,5.0,3.0,5.0,3.0,5.0
EY,variety of work great teams flex bens,long hours high demands hard nosed leadership,Positive,4,2.0,4.0,3.0,3.0,4.0,3.0
British-Airways,working for british airways was alway my dream it is full of fantastic people apart from the leadership team e have some fantastic layovers and a service to be proud of i really do enjoy going into work each day,poor management from the top departments being turned against each other leadership team trying to reduce us to low cost carrier lt making our fantastic airline a laughing stock and talking us down,Positive,4,2.0,3.0,3.0,4.0,4.0,1.0
Google,chilled out place to work great socials and opportunity to innovate best company intranet so far gtech is the coolest,not many but maybe internal comms,Positive,4,3.0,4.0,3.0,4.0,4.0,4.0
Citi,decent pay and good worklife balance,systems are no very user friendly,Positive,4,5.0,4.0,3.0,4.0,4.0,4.0
Tesco,it was really good atmosphere,it can be hard work at times,Negative,2,3.0,3.0,3.0,3.0,3.0,3.0
Oracle,you get to work with the product developer,internal growth is limited as there is not much place in middle management,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Workday,great benefits perks the product is amazing,very steep learning curve for new employees must be selfmotivated and search for answers,Positive,4,5.0,5.0,5.0,4.0,4.0,5.0
EY,good knowledge sharing great technology,odd decentralized management in which sections of the organization are not talking to one another,Negative,1,2.0,3.0,3.0,1.0,3.0,1.0
Citi,cutting edge technologies with mainframe system z very experienced teammates great learning environment flexible schedule but now the times are changing,stuck stock prices still recovering from the financial crisis bureaucracy and regulations stifle technical improvements,Positive,4,4.0,4.0,3.0,3.0,4.0,1.0
Google,great variety of meals flexible,please notify me ahead of time for late time,Positive,4,5.0,5.0,3.0,5.0,5.0,5.0
McDonald-s,the pay was awesome and the over time is cool as well,benefits where trash if your part time you get nothing,Neutral,3,4.0,1.0,1.0,1.0,1.0,1.0
Korn-Ferry,great people great clients and great products,need to increase execution capability in advisory,Positive,4,4.0,4.0,3.0,4.0,4.0,4.0
IBM,it was my first job in ibm and my experience is very good with them i was really satisfied with that job i got so many opportunity to groom myself the support level is very helpful to me the help us to train not only particular job skill but also help us to get other skill which is required to move to the next level,they reducing the housekeeping manpower hence employee are suffering for that,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
HSBC-Holdings,happened to have a good manager who is very good technically and has good business sense got to learn a lot from him,no room for growth one dimentional,Neutral,3,1.0,3.0,3.0,2.0,2.0,4.0
EY,i like it very much great company,too many politics in my opinion,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
H-and-M,people easy work and not bad pay,management poor shifts not predictable,Positive,4,3.0,4.0,3.0,4.0,2.0,2.0
Microsoft,great place of work great people,non that i can think of,Positive,5,5.0,4.0,3.0,5.0,5.0,4.0
Citi,career opportunities compensation benefits,we to be honest there are none,Positive,4,4.0,4.0,3.0,4.0,4.0,4.0
Thomas-Cook,free milk flexible hours working from home great people,none love working in there,Positive,4,5.0,5.0,3.0,5.0,4.0,4.0
Sodexo,very competitive salaries within the administrative staff with having offices in countries they are a very diverse company and take pride in their diversity and inclusion,advancement does not happen often if you are not already senior management despite their claims of transparency they are not very forthcoming when it comes to disclosing what is being done to grow the business the smaller segments do not have much of a voice and their suggestions are not taken seriously,Neutral,3,3.0,5.0,3.0,3.0,2.0,2.0
WLT-Group,the teams on the ground are always fantastic and great to work with,the management just there to squeeze everyone for their profit and give you no tools to work with,Neutral,3,3.0,3.0,3.0,3.0,2.0,1.0
IBM,great training and development in the us,very few us job opportunities,Negative,2,2.0,3.0,3.0,1.0,3.0,3.0
Barclays,reasonable working conditions most managers seem to actually care but then theres also the usual few who upset the cart,same politics in the hierarchy as youd expect anywhere,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
IBM,management cares about your career progression,politics will get in the way of your promotion a company hq in usa will always care more about the bottom line than the employees,Neutral,3,1.0,3.0,5.0,4.0,3.0,4.0
Deutsche-Bank,vacation days if you can take them,no career advancement and when you do advance need to wait till jan or july for salary increase and unable to negotiate new salary,Negative,1,3.0,2.0,3.0,1.0,4.0,1.0
Deloitte,great management and good people to work around,it can be hard to move up to something you want to do when there are people who dont want to perform your job,Positive,4,4.0,4.0,4.0,3.0,5.0,3.0
Citi,benefits are great and opportunities forr growth,senior mgmt needs a reality check,Positive,4,5.0,3.0,3.0,4.0,5.0,3.0
BBC,worklife balance training exposure culture values,career progression may be slow not necessarily,Positive,5,5.0,5.0,5.0,5.0,4.0,5.0
Unity-Technologies,work with passionate talented people who care about the product from the newest intern to the ceo treated like an adult given latitude to make decisions within your purview and plan your own workday great work environment no suit and tie he no shoes shirt required though please drink beer on the job just dont spill on the keyboard please work whatever hours you want within reason zero crunch faff fridays are for fun time permitting youre allowed to work on a project of your choice and often the last part of the day is a party everything from gocart races to beer drinking great relationship with customers they appreciate the democratization of games the engine provides and the passion of the crew and respond in kind,repetitive work but i knew this going into the job as with most jobs in the game industry the pay isnt what youll get on the outside but youre working in the game industry and youll never hate going to work in the morning no matching k,Positive,5,4.0,5.0,3.0,4.0,3.0,4.0
Deloitte,top bigshots clients good brand name recognition for good work,no time remains for personal life outstation travelling,Positive,4,1.0,2.0,3.0,4.0,3.0,3.0
Google,google is the best for jobs,if we worh here it is presitious one,Positive,5,5.0,5.0,3.0,5.0,3.0,4.0
Apple,benefits work experience with apple potential to advance,takes a considerable amount of dedication and time beyond the required and set hours,Positive,4,3.0,4.0,3.0,3.0,4.0,3.0
Citi,none salaries seem good at the beginning but its not worth it,exploitative stagnant managers are managers because they have been in the company for many years not because they are competent horrible culture where harassment and abuse are tolerated and even rewarded the most mediocre tend to survive and perpetuate the problem very high turnover rate,Negative,1,1.0,1.0,3.0,1.0,1.0,1.0
HSBC-Holdings,benefits are awesome and multicultural,demanding and frequently change of regulation,Neutral,3,3.0,3.0,3.0,3.0,5.0,2.0
Post-Office,work life balance is more present here and the basic salary is higher than most high street banks,too many to list however if i should get specific here are but a few living in the dark ages in terms of systems and processes need to bring this right up to scratch no robust processes and one rule for one and different for others bonus scheme non existant far too many spreadsheets to fill in to track mi which in turn leads to inaccuracies lead generation process is not robust enough leading to most business being self generated no career progression unclear career progression one lender bank of ireland who are very difficult to deal with and often turn business down appalling mortgage specialist retension rate a lot of mss leaving in their droves very hard sale when it comes to customers no rapport building enlisted just straight sell sell sell,Negative,1,3.0,1.0,3.0,1.0,2.0,1.0
Lloyds-Banking-Group,hours pw good training work from home,organisational change often change of leadership meaning new vision,Positive,4,5.0,4.0,3.0,4.0,3.0,4.0
Deloitte,flexibility paid certificate training good on cv for future opps,below the market salary not all overtime can be charged no work life balance,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Morgan-Stanley,great peers who make the time to help you a lot of training a lot of great facilities the working hours are reasonable very resourceful positive morale in the workplace,there are rooms for advancement but normally they are people with public accounting background or has been in the company for many many years a lot of computer interactions necessary,Positive,4,3.0,3.0,3.0,4.0,3.0,4.0
Hilton,a great company to work for and a lot of opportunity to grow in your career,pay is not always good,Positive,5,4.0,5.0,3.0,5.0,4.0,4.0
PwC,a lot of options if you are high performer very friendly people and everybody wants you to succeed,hard to switch los promotions take longer than other big,Positive,5,3.0,5.0,3.0,5.0,4.0,5.0
IBM,good work environement and flexibility,months notice to leave is too long,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
McDonald-s,free mcdonalds and easy to take time off,often dealing with impatient customers,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
McDonald-s,great people to work for and serve you usually will get good hours because they are always so busy,mcdonalds is always so busy so youll never have a slow day,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Salesforce,excellent benefits great pay excellent culture place where you can see equality happening you can work independently your ideas are always appreciated you will have the freedom to choose the technology for any new task great opportunities for learning flexibility to change teams and move to new roles,company kind of slowing down on innovating new things market is moving so fast competitors are growing everyday we might need to speed up a little,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Oracle,training available if it doesnt include travel some benefits included with salary eg health insurance,payrise only in the last yearsmany didnt even get that no process for annual payrise cheapest travel policy cheapest airlines economy class but business class for management develop yourself because oracle wont develop staff,Negative,1,3.0,1.0,3.0,2.0,1.0,2.0
ASDA,flexibility for holiday days shift cover and extra hours,too much expected from one person,Negative,2,5.0,4.0,3.0,1.0,2.0,1.0
Ministry-of-Justice-UK,gained a lot of experience in different areas of finance work at the ministry of justice will improve stakeholder management,unwilling to promote internal staff ministry of justice is experiencing spending review opportunities are very limited personally experience low morale in certain areas of organisation,Neutral,3,5.0,4.0,3.0,2.0,4.0,3.0
Morrisons,very cheap food on sight plenty of room for progressions fairly decent managers decent pay and night pay,can have some very long hours overtime is expected,Positive,4,3.0,5.0,5.0,5.0,4.0,4.0
Thomson-Reuters,a startup culture within an enterprise there is a change in the air for the better they genuinely care about employees and their customers their products are smart and impactful in multiple extensive and exciting areas news legal learning tools tax engines they are real in the world of ai have international footprint with their technology labs the compensation package is good combined with soft compensations it will well compete with great companies diversity and inclusion is a big focus there is a special place for that everywhere,no place is perfect there is always a mix of good and bad there are old schools still around and there is mix of leaders with bossy mentality still there even within some new joiners but the culture is right and things is always toward getting better one step at a time still you see leaders with the tendency or preference on their direct team members to be from particular culture just as it feels more comfortable yes its going against the whole diversity mission its a hard point to catch but its visible to the eye of minorities,Positive,5,5.0,5.0,3.0,5.0,5.0,3.0
Morgan-Stanley,the team was very welling to help me learn during my internship conversations around the water cooler were informative and valuable,not much to share in the cons department my position was only a temporary one due to the internship nature of the position,Positive,4,4.0,3.0,3.0,3.0,3.0,4.0
Grant-Thornton-UK-LLP,people autonomy scope of work diverse nature of the business,senior leadership especially the older male partners who stifle organisational progression,Positive,4,4.0,5.0,3.0,2.0,3.0,3.0
AstraZeneca,good pay flexible hours good employees,only advanced if in cliche,Neutral,3,4.0,3.0,3.0,3.0,4.0,3.0
IBM,had fun learned alot diverse,too much fakeness and gossip,Neutral,3,2.0,1.0,3.0,3.0,2.0,2.0
IBM,the pay was good the people i worked with were great i enjoyed my project,lay offs are an annual ritual while i loved what i did i didnt like the stress that came during layoff season it was starting to feel like a lottery you didnt want to win,Negative,2,3.0,3.0,3.0,3.0,3.0,3.0
Adecco,there really isnt too much positive in working here we were understaffed forced to work extra hours rarely took a lunch break and the pay didnt match industry standards,no worklife balance blackout dates for taking time off during th quarter late night and weekend requirements intolerable stress level understaffed low salary,Negative,1,1.0,1.0,3.0,1.0,1.0,1.0
McKinsey-and-Company,great ownership at an early stage of my career,late hours due to rework,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
Pizza-Hut,i liked my coworkers and made decent money on good tip days,there is a lot of little annoyances that become draining there after a while not many major problems just enough such as never going home when youre scheduled off,Neutral,3,4.0,4.0,3.0,2.0,1.0,2.0
HSBC-Holdings,multicultural flexible work good pay and benefits learning opportunities some great people if head leads by example expertise level technology is decent,career progression depends on face time and internal network performance measured in work quantity less than quality very bureaucratic youre on your own,Neutral,3,2.0,3.0,3.0,2.0,4.0,2.0
CBRE,aggressive in terms of expansion,significant discrimination over race and gender support staffs are not getting recognize underpaid compare to the market,Negative,1,2.0,3.0,3.0,1.0,2.0,2.0
KPMG,helpful and completed training process,high intensity work makes it hard to balance work and life,Positive,5,3.0,5.0,5.0,4.0,4.0,5.0
SAP,great people serious renewed focus on innovation encouraged to step out and make your own path rewarded for performance weeding out the old guard,struggling to change from a process driven organization but making progress you can end up working your tail off big expectation that you deliver,Positive,5,4.0,3.0,3.0,5.0,5.0,5.0
Deloitte,very flexible working hours collaborative culture,long hours sometimes decisions made by committee,Positive,4,2.0,5.0,3.0,5.0,4.0,3.0
SAP,flexibility learning travel around the world,very much process oriented too much change going on internally,Positive,5,3.0,3.0,3.0,3.0,3.0,3.0
IBM,work family balance horizontal management with agile decision making to the squads,salaries still low not accent set leadership positions for minorities black asian etc in slovakia,Positive,5,5.0,5.0,4.0,3.0,3.0,2.0
Santander,professional corporate environment there was a clear chain of command i knew who to speak to if i needed assistance they run a lot of charity events i felt very comfortable in the office everyone was so friendly helpful,honestly i cant think of many some of the work was a bit tedious but this is expected in an admin job but thats all,Positive,5,5.0,5.0,5.0,5.0,5.0,5.0
Unity-Technologies,incredibly friendly environment it seems to be part of unitys hiring policy that you can only get a job here if you are not only great at what you do but are also a nice and friendly person i can honestly say i have not met anyone here who i really dont get on with interesting work the work i do is always interesting and varied i couldnt ask to do something i wanted more really relaxed work ethic i dont know if i speak for every team in the company i think i do but there is a feeling of get the work done and everything is okay as a result time working is fairly flexible benefits occasionally my job calls for travel and this always makes for an interesting and pleasant experience we also have perks such as beer fridays where in the afternoon on fridays some beers are bought for us and we have a ps in the office for those that choose to use it,pay i am paid enough to survive and be fairly comfortable however if i was to join another company doing a similar job id probably be paid a little more benefits as the company grows the opportunity for travel lessens it used to be that everyone in the company would attend the unite company conference once a year but as of this is not the case any more in fact i believe less than a third of employees were able to attend this year i understand this is a function of the company getting larger but nevertheless it is a benefit that is gradually being taken away with regards to normal benefits such as pension stock options and others the uk office currently have none whereas the rest of the world do this however is being rectified as we have been told we will be getting some benefits soon,Positive,5,5.0,5.0,3.0,4.0,2.0,4.0
PwC,great for learning how to manage your work and to work in groups,hard worklife balance willing to improve,Positive,4,2.0,4.0,3.0,4.0,3.0,3.0
Sky,amazing support from your team and manager buzz events throughout the call centre to boost morale and the bonuses are great,lots of stats and targets to meet which makes it very stressful at times,Positive,4,3.0,5.0,3.0,4.0,5.0,4.0
J-P-Morgan,excellent benefits looks good on your resume lots of free training available,career growth is encouraged however advancing within the company is tough hiring methods are unfair many job postings are posted by managers to follow protocol after already knowing who they will hire,Positive,4,3.0,4.0,3.0,3.0,4.0,3.0
Salesforce,most recognized product stack in the industry that customers love and build their careers on,our internal complexities are sometimes difficult to shield from customers,Positive,5,3.0,4.0,3.0,5.0,5.0,4.0
Dixons-Carphone,learning both sides of the business on how currys pc world work,there are many cons in working in store in stores i have worked for carphone for more than years and this is my full st year in a carphone within a currys let me tell you a little back story i originally took the opportunity to open this store and get everything set up then i was offered a team leader position within the store however for currys not carphone i took the opportunity for progressional purposes within carphone i was a team leader for months as i wasnt enough of a yes man for dixons i then demoted my position and transferred back to carphone within the same shop this is where i went wrong dont get me wrong however there are some incredibly well performing store in stores however this store has never performed due to poor management since it first opened there is no support from either carphonecurrys management so when the store is consistently not performing each and every carphone colleague will get a poor review and threatened that your job is it risk i feel incredibly sorry for new staff members joining the business within store in stores which are low performing stores as there is literally no hope for them when you ask wether you can transfer to the stand alone carphone stores they say that its physically not possible and your transfer will be blocked my career in carphone is potentially coming to an end as i have no option to progress due to poor performance in this store and there is no support in transferring back to a retail stand alone store,Negative,1,4.0,4.0,3.0,3.0,5.0,2.0
Ryan-LLC,in earlymid march our ceo brint ryan asked for all of us to start working from home to help stop the spread of covide since we have had myryan a working from home policy for awhile now our infrastructure was already in place to support us we did have a few bumps at the beginning but they where quickly fixed this company is a great place to work and really supports its employees especially during these difficult times we are able to work flexible hours due having kids spouses and even parents at home with us,being an administrative assistant and not an executive assistant sometime you feel overlooked,Positive,5,5.0,5.0,3.0,4.0,5.0,5.0
J-P-Morgan,underpaid and overworked no overtime,pension vacation after five years nice coworkers,Neutral,3,1.0,2.0,3.0,3.0,1.0,1.0
IBM,overseas transfer opportunities opportunity to do work that matters prestige of company gets meetings with client decision makers solution portfolio is vast,salary decisions are based on averages many are underpaid vs industry for similar work quarterly pressure for results is dialed up administrivia and internal bureaucracy is over the top ceo is fantastic though the surrounding svps are less so,Positive,4,3.0,4.0,3.0,4.0,2.0,3.0
Waitrose,good overtime opportunities good team work ethic good managers always something to do room for progression and lots of training,they prefer part time to full time so if you want a full time job you have to push and push,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
Tesco,friendly staff and decent pay,lack of adequate training sometimes,Positive,4,3.0,3.0,3.0,3.0,3.0,3.0
Macdonald-Hotels-and-Resorts,employees get free use of the gym and pool,upper management the younger staff especially get ttreated badly by a childish restaurant manager the workload isnt divided equally some staff get away with doing nothing whilst others are running around like fools the only decent manager there is the head housekeeper the others are clueless one thing about the head housekeeper is they allow the foreign workers over weeks off at a time whilst the english dont get that privilege housekeeping workload is very heavy at times and they end up working late they even have to take breakfast trays back to the kitchen and glasses back to the bar why the restaurant and bar staff dont collect them is unknown staff meals not to criticise the chefs but the meals of the time have a side helping of chips sandwiches and a side salad would please everyone staff turnover there is unbelievable if they were treated better and not like dirt then youd have more people staying spa doesnt have a jacuzzi or hot tub or toilets on the spa floor people have to go upstairs to the restaurant toilet or downstairs to the changing rooms staff canteen is up two flights of stairs just stupid considering you get half hour unpaid break and have to walk across the building just to get to the kitchen,Negative,1,2.0,1.0,3.0,1.0,1.0,1.0
McDonald-s,pay is usually on time if working in back area no need to talk to people,work hard and still not recognized for promotion after years of working there angry managers always shouting angry employees always complaining angry customers always wanting more older people get more pay just because they are older it is not determined from your skill level,Neutral,3,4.0,1.0,3.0,1.0,1.0,1.0
Apple,competitive pay amazing benefits good group of coworkers,very corporate its retail so thats a struggle,Positive,5,5.0,3.0,3.0,3.0,5.0,3.0
Barclays,hands on role no pros unhealthy environment,very little respect to employee long onboarding process very little support from management,Negative,1,1.0,1.0,3.0,3.0,2.0,1.0
Bayer,nice coffee big company to work for and lots of opportunities gemans are little difficult to work with but there are good ones,one company model the ceo ran tmo into the ground and the board need to watch all his move to make sure he does not do the same with bayer,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Microsoft,everything about this company is great they treat their employees very well,there are no cons working for microsoft,Positive,5,5.0,5.0,3.0,5.0,5.0,5.0
AstraZeneca,undoubtedly the best leadership and management ive encountered professionally,very limited minor and isolated cons,Positive,5,4.0,5.0,3.0,4.0,5.0,5.0
Citi,client focus is exceptional mosly,employee focus is less than exceptional,Negative,2,3.0,2.0,3.0,4.0,2.0,2.0
Primark,the role was contract same shifts every week overtime was always available monthly pay pay was over the nmw,missed communication within management and pc hr,Positive,4,4.0,3.0,3.0,3.0,1.0,3.0
Topshop,slightly above minum wage,under staffed a lot of pressure due to lack of staff no rewards for hard work management discuss employees on floor causing terrible atmosphere high rate of staff quiting due to all mentioned reasons on a hour contract could have to work days a week,Negative,1,1.0,1.0,3.0,1.0,2.0,1.0
Thomson-Reuters,brilliant experience to work in the worlds most respected news agency good work culture feels healthy and respectful management is open and positive to new ideas and change supportive of your growth,long periods of high stress working in breaking news situations can affect mental healthenergy levels at times management has thus far been open to discussing these situations,Positive,5,4.0,5.0,3.0,4.0,4.0,5.0
Boston-Consulting-Group,great development potential and exposure to many different issues in short period of time massive flexibility in terms of home office location,lots of travel and limited time at home,Positive,5,4.0,5.0,3.0,5.0,5.0,5.0
the-LEGO-Group,good compensation great environment and management,not competitive bad work location,Positive,5,4.0,5.0,5.0,5.0,5.0,5.0
Priory-Group,good experience within a psychiatric environment,lack of opportunity for further advancement,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Pizza-Hut,good pay and nice people,late hours and hard work,Neutral,3,3.0,3.0,3.0,3.0,3.0,3.0
Salesforce,compensation is well above the industry average not only are salaries generally higher additional compensation such a stock grant and options performance bonuses and retention bonuses further increase compensation the stock has increased fold in the past two years,the company is not well organized and goes through reorganizations and direction changes frequently infrastructure is fragile and management tends to throw people at issues to solve problems for the moment compensation is high because internal competition long hours and management selfpreservation make the company a difficult and trying place to work,Neutral,3,4.0,3.0,3.0,3.0,4.0,2.0
